intersection_id,tollgate_id,time_window,avg_travel_time
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",114.08
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",114.08
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",114.08
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",114.13
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.13
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.13
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",125.98
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",125.98
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",125.98
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",126.54
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",126.54
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",126.54
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",123.77
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.77
B,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",123.77
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",124.42
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",124.42
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",124.42
B,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",112.59
B,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",112.59
B,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",112.59
B,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",112.79
B,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",112.79
B,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",112.79
B,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",123.57
B,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",123.57
B,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",123.57
B,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",124.21
B,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",124.21
B,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.21
