,intersection_id,tollgate_id,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hour,week,minute,travel_time
0,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,0,2,0,58.05
1,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,0,69.392
2,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,2,0,40.79
12,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,3,2,0,40.426
13,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,4,2,0,55.3872727273
14,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,5,2,0,54.6447368421
24,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,0,55.9922222222
25,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,7,2,0,70.1479310345
26,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,8,2,0,75.3702439024
42,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,0,72.8030232558
43,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10,2,0,71.2418181818
44,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11,2,0,57.8463157895
59,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,0,53.7344444444
60,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13,2,0,58.726969697
61,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,14,2,0,67.5371794872
77,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,0,70.7375
78,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16,2,0,57.9095652174
79,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,17,2,0,81.5608695652
94,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18,2,0,70.0232258065
95,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,19,2,0,79.3036363636
96,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,20,2,0,60.6052173913
112,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,21,2,0,58.993
113,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,22,2,0,64.674
114,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,23,2,0,70.2809090909
125,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,0,3,0,60.775
126,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,1,3,0,48.2714285714
127,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,2,3,0,33.8966666667
135,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,3,3,0,59.99
136,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,4,3,0,89.3883333333
137,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,5,3,0,51.8306666667
146,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,6,3,0,62.9711764706
147,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,7,3,0,82.8159375
148,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,8,3,0,139.580588235
162,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,9,3,0,34.115
